Name,Favorite,Rating,FavChar,Members,Played_anime
Takeuchi Junko,6044.0,72387.56476683936,123560.15544041451,24546.66062176166,19300
Itou Miku,5973.0,65402.380952380954,11086.666666666668,13978.740476190476,8400
Sugiyama Noriaki,5973.0,71563.84180790962,40609.265536723164,28437.045197740117,17700
Kohara Konomi,5913.0,73199.12280701754,15794.82456140351,30993.434210526317,11400
Murase Ayumu,5777.0,69720.99644128114,11657.508896797153,24327.897864768685,28100
Yamaguchi Kappei,5740.0,70603.25814536342,29206.967418546366,16465.801002506265,39900
Itou Shizuka,5732.0,71258.57142857143,4930.619047619048,19618.047142857144,42000
Kobayashi Yuu,5650.0,70291.44385026739,5469.732620320856,21338.33770053476,37400
Kakihara Tetsuya,5600.0,68935.73883161512,11435.3264604811,18130.565979381445,29100
Koshimizu Ami,5592.0,70371.92982456139,8507.690058479531,20682.144444444446,34200
Uesaka Sumire,5540.0,66743.24324324325,3370.3474903474903,13167.553281853281,25900
Suzumura Kenichi,5271.0,71814.01617250674,7515.121293800539,20186.398921832886,37100
Ueda Reina,5213.0,67378.125,2499.285714285714,30656.737946428577,22400
Konishi Katsuyuki,5198.0,71165.6108597285,4923.876319758673,23503.626847662144,66300
Saitou Souma,5044.0,66617.01388888889,3726.840277777778,16264.299305555556,28800
Fukushima Jun,4839.0,72725.37313432836,16927.388059701494,29164.347014925374,13400
Kawasumi Ayako,4783.0,71074.7807017544,16709.34210526316,19157.545614035087,45600
Furukawa Makoto,4723.0,71389.24302788844,14844.103585657369,36091.48685258964,25100
Ootsuka Akio,4670.0,70831.1320754717,3087.5471698113206,22326.646933962267,42400
Kimura Ryouhei,4579.0,70674.8299319728,4951.122448979591,24835.959523809524,29400
Morikawa Toshiyuki,4535.0,71150.45537340619,2480.054644808743,19901.05154826958,54900
Fujiwara Keiji,4448.0,72132.20338983051,1947.7966101694915,23899.346004842617,41300
Fairouz Ai,4354.0,62568.29268292682,9477.560975609756,12275.067073170732,8200
Tanezaki Atsumi,4349.0,69699.08675799087,9536.803652968036,26376.847945205478,21900
Koyama Rikiya,4294.0,72199.47916666667,6722.057291666666,25393.653125,38400
Nakahara Mai,4172.0,70829.54545454547,5234.0259740259735,21345.679545454546,30800
Midorikawa Hikaru,4129.0,70557.21649484536,2764.1494845360826,20332.670360824744,38800
Umehara Yuuichirou,4050.0,68026.8817204301,2519.784946236559,18008.07419354839,18600
Yamashita Daiki,4035.0,68084.93150684932,23396.940639269407,26502.618721461185,21900
Ohara Sayaka,3952.0,72151.27118644067,23773.11440677966,22355.52838983051,47200
Maeno Tomoaki,3927.9967637540453,71209.38511326861,2160.9708737864075,21083.776051779936,30900
Kurosawa Tomoyo,3760.0,70703.84615384616,7736.923076923077,16702.50076923077,13000
Irino Miyu,3753.0,72683.19327731091,8060.882352941177,22877.59579831933,23800
Taniyama Kishou,3690.0,71992.49999999999,10599.1,28449.782000000003,20000
Ootsuka Houchuu,3684.0,72168.68131868132,4200.082417582417,23151.51098901099,36400
Imai Asami,3667.0,68939.72602739726,64658.63013698631,18559.07397260274,7300
